stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding																																	   
29918,4201,"TCC TC",,47.243078,-122.526133,,,,,,1
6333,4202,"TCC TC",,47.243277,-122.526122,,,,,,1
17334,4203,"TCC TC",,47.243330,-122.525979,,,,,,1
5561,4204,"TCC TC",,47.243311,-122.525627,,,,,,1
8918,4205,"TCC TC",,47.243482,-122.525624,,,,,,1
15937,4206,"TCC TC",,47.243677,-122.525955,,,,,,1
32558,4207,"TCC TC",,47.243482,-122.526133,,,,,,1
30466,4209,"TCC TC",,47.243663,-122.525653,,,,,,1
12066,4210,"TCC TC",,47.243555,-122.526257,,,,,,1
21143,4211,"TCC TC",,47.243527,-122.525946,,,,,,1
24069,4212,"Tacoma Mall TC",,47.213650,-122.469403,,,,,,1
6570,4213,"Tacoma Mall TC",,47.213748,-122.469640,,,,,,1
5052,4214,"Tacoma Mall TC",,47.213805,-122.469867,,,,,,1
21875,4215,"Tacoma Mall TC",,47.213944,-122.469813,,,,,,1
7096,4216,"Tacoma Mall TC",,47.213850,-122.469527,,,,,,1
32553,4219,"Tacoma Mall TC",,47.213896,-122.469296,,,,,,1
32020,4221,"Tacoma Mall TC",,47.214048,-122.469785,,,,,,1
24892,4225,"SR 512 P&R",,47.161063,-122.483488,,,,,,1
30984,4226,"SR 512 P&R",,47.160850,-122.483369,,,,,,1
28022,4227,"SR 512 P&R",,47.160685,-122.483358,,,,,,1
8534,4228,"SR 512 P&R",,47.160824,-122.483255,,,,,,1
374,423,"70th Ave W & 22nd St W",,47.240019,-122.529961,,,,,,1
29008,4230,"SR 512 P&R",,47.161268,-122.483317,,,,,,1
41579,4231,"SR 512 P&R",,47.160797,-122.482987,,,,,,1
26645,4232,"Puyallup Station - Bay 2",,47.192822,-122.296124,,,,,,1
10401,4233,"Puyallup Station - Bay 3",,47.192952,-122.296851,,,,,,1
11093,4235,"Sumner Station - Bay 2",,47.201602,-122.244408,,,,,,1
24903,4236,"Sumner Station - Bay 3",,47.201336,-122.244691,,,,,,1
4738,4237,"Kimball Dr P&R",,47.318086,-122.586811,,,,,,1
375,424,"70th Ave W & S 19th St",,47.242438,-122.530085,,,,,,1
5698,4240,"4th Ave & Washington St",,47.601421,-122.328898,,,,,,1
15742,4241,"2nd Ave & Stewart St",,47.610721,-122.340275,,,,,,1
5536,4247,"Emerson St & Edwards Ave",,47.221135,-122.509219,,,,,,1
30839,4248,"Emerson St & Edwards Ave",,47.221032,-122.508433,,,,,,1
13461,4249,"74th St S & S Mullen St",,47.190499,-122.501115,,,,,,1
4603,4251,"Lakewood Dr SW & Steilacoom Blvd",,47.176067,-122.507910,,,,,,1
376,427,"72nd St S & Alaska St",,47.191981,-122.457637,,,,,,1
377,428,"72nd St S & Alaska St",,47.191878,-122.458200,,,,,,1
3543,4286,"72nd St E& 25th Ave E",,47.191681,-122.395945,,,,,,1
32190,4288,"Farwest Dr SW & 93rd St SW",,47.171869,-122.574383,,,,,,1
23561,4291,"45th St NE & Roosevelt Way NE",,47.661240,-122.317192,,,,,,1
19280,4292,"15th Ave NE & NE 40th St",,47.654870,-122.312171,,,,,,1
30232,4293,"Orchard St W & Birch",,47.218801,-122.505325,,,,,,1
25398,4294,"336th St S & Weyerhaeuser Wy",,47.302776,-122.298425,,,,,,1
31073,4295,"336 St S & Weyerhaeuser Wy",,47.302672,-122.298402,,,,,,1
6229,4296,"Enchanted Pkwy & 28th Ave S",,47.262296,-122.298262,,,,,,1
38,43,"10th St SE & 43rd St SE",,47.151503,-122.281763,,,,,,1
379,430,"72nd St E & E B St",,47.191923,-122.428075,,,,,,1
380,431,"72nd St E & E B St",,47.191819,-122.428232,,,,,,1
381,432,"72nd St E & E F St",,47.191920,-122.423336,,,,,,1
382,433,"72nd St E & E F St",,47.191812,-122.423223,,,,,,1
6815,4331,"Bridgeport Way W & Custer Rd W",,47.186954,-122.518298,,,,,,1
23413,4336,"Meridian Ave E & 156th St E",,47.115048,-122.293223,,,,,,1
6266,4337,"Meridian Ave E & 156th St E",,47.114437,-122.293415,,,,,,1
6535,4349,"Meridian Ave E & 160th St E",,47.111476,-122.293313,,,,,,1
23125,4353,"Federal Way TC - Bay 1",,47.317467,-122.304031,,,,,,1
29410,4354,"Federal Way TC - Bay 5",,47.317478,-122.305645,,,,,,1
7910,4355,"Federal Way TC - Bay 7",,47.317572,-122.304559,,,,,,1
21777,4358,"Hidden Village Dr E & 200th St E",,47.074599,-122.417794,,,,,,1
3898,4359,"Portland Ave & E 46th St",,47.215544,-122.407727,,,,,,1
19247,4365,"Woodbrook Dr SW & 150th St SW",,47.122953,-122.526924,,,,,,1
384,438,"72nd St S & J St",,47.191962,-122.447546,,,,,,1
