stop_id,stop_name,stop_lat,stop_lon,stop_code,wheelchair_boarding
396,112TH ST SE & SILVER LAKE RD - EB,47.896542,-122.213867,6335,2
397,SILVER LAKE RD & SILVER LAKE BEACH - SB,47.894531,-122.214882,6340,2
398,SILVER LAKE RD & 116TH ST SE - SB,47.892216,-122.216179,6345,2
399,SILVER LAKE RD & 119TH PL SE - SB,47.889725,-122.215996,6205,2
4,SEAWAY BLVD & 24TH AVE W - WB,47.937157,-122.265282,3480,2
40,EVERETT AVE & RAINIER AVE - WB,47.981930,-122.199341,2260,2
400,SILVER LAKE RD & 13TH DR SE - EB,47.888103,-122.213402,6210,2
401,121ST ST SE & 17TH AVE SE - EB,47.887596,-122.209610,6215,2
402,121ST ST SE & 19TH AVE SE - EB,47.887646,-122.207428,6220,2
403,19TH AVE SE & 121ST ST SE - NB,47.888027,-122.206520,6425,2
404,19TH AVE SE & LAKE HEIGHTS DR - NB,47.891258,-122.205536,6420,2
405,19TH AVE SE & 116TH ST SE - NB,47.893108,-122.203171,6410,2
406,19TH AVE SE & 113TH ST SE - WB,47.895763,-122.204758,6405,2
407,19TH AVE SE & 110TH ST SE - NB,47.898727,-122.206718,6365,2
408,19TH AVE SE & 105TH ST SE - NB,47.903145,-122.206863,6370,2
409,19TH AVE SE & 102ND ST SE - NB,47.904766,-122.206894,6375,2
41,EVERETT AVE & LOMBARD AVE - WB,47.981976,-122.202637,1310,2
410,19TH AVE SE & 100TH ST SE - NB,47.907581,-122.206917,6380,2
411,19TH AVE SE & 96TH PL SE - NB,47.910931,-122.206978,6388,2
412,19TH AVE SE & BURLEY DR - NB,47.912975,-122.206932,6390,2
413,BROADWAY & BEVERLY BLVD - NB,47.922585,-122.206726,4249,2
414,BROADWAY & 79TH ST SE - NB,47.928495,-122.203524,4231,2
415,BROADWAY & 75TH ST SE - NB,47.930458,-122.202538,4162,2
416,BROADWAY & 73RD ST SE - NB,47.932434,-122.201485,4164,2
417,BROADWAY & ADAMS AVE - NB,47.934517,-122.200340,4168,2
418,BROADWAY & HOWARD AVE - NB,47.937775,-122.199249,4185,2
419,BROADWAY & 62ND ST SE - NB,47.941437,-122.199532,4195,2
42,WETMORE AVE & EVERETT AVE - SB,47.981304,-122.207245,1290,2
420,BROADWAY & 60TH ST SE - NB,47.943188,-122.199554,4205,2
421,BROADWAY & 56TH ST SE - NB,47.945938,-122.199821,4215,2
422,BROADWAY & 52ND ST SE - NB,47.949055,-122.200012,4223,2
424,S 2ND AVE & ZILLAH ST - NB,47.948273,-122.194435,4060,2
425,S 2ND AVE & EUGENE ST - NB,47.951656,-122.194839,4040,2
426,S 2ND AVE & 49TH ST - NB,47.953613,-122.195244,4035,2
427,S 3RD AVE & 46TH ST - NB,47.956970,-122.196854,4025,2
428,S 3RD AVE & 44TH ST - NB,47.959919,-122.197212,4015,2
429,S 3RD AVE & 42ND ST - NB,47.962910,-122.197403,4005,2
43,WETMORE AVE & HEWITT AVE - SB,47.979561,-122.207298,1370,2
430,SMITH AVE & 36TH ST - NB,47.970924,-122.196899,2343,2
431,EVERETT AVE & CEDAR - EB,47.981735,-122.192856,2280,2
432,WALNUT ST & 26TH ST - NB,47.983223,-122.189430,2235,2
