route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,peak_offpeak,boarding_type
47,t72E-b1773-sl3,3,To Olympia Transit Center,1,6003,28,1,0.0,1,0,0
47,t72E-b1775-sl2,2,To Olympia Transit Center,1,6005,28,1,0.0,1,0,0
621,t72F-b1839-sl2,2,To Olympia Transit Center,1,6201,20,1,0.0,1,0,0
621,t72F-b1839-sl3,3,To Olympia Transit Center,1,6201,20,1,0.0,1,0,0
13,t72F-b515-sl3,3,To Olympia Transit Center,1,1301,17,1,0.0,1,0,0
13,t72F-b516-sl2,2,To Olympia Transit Center,1,1302,17,1,0.0,1,0,0
68,t730-b1A91-sl3,3,To Lacey Transit Center,1,6801,35,1,0.0,1,0,0
68,t730-b1A93-sl2,2,To Lacey Transit Center,1,6803,35,1,0.0,1,0,0
48,t731-b19C9-sl3,3,To Olympia Transit Center,1,6601,13,1,0.0,1,0,0
48,t731-b19CB-sl2,2,To Olympia Transit Center,1,6603,13,1,0.0,1,0,0
12,t732-b4B1-sl3,3,To Olympia Transit Center,1,1201,26,1,0.0,1,0,0
12,t732-b4B2-sl2,2,To Olympia Transit Center,1,1202,26,1,0.0,1,0,0
64,t735-b1195-sl2,2,To Amtrak Station,0,4501,33,1,0.0,1,0,0
64,t735-b1195-sl3,3,To Amtrak Station,0,4501,33,1,0.0,1,0,0
45,t735-b1197-sl3,3,To Capital Mall,0,4503,6,1,0.0,1,0,0
45,t735-b119A-sl2,2,To Capital Mall,0,4506,6,1,0.0,1,0,0
66,t735-b19CB-sl3,3,To Lacey Corporate Center,0,6603,9,1,0.0,1,0,0
66,t735-b19CC-sl2,2,To Lacey Corporate Center,0,6604,9,1,0.0,1,0,0
48,t735-b19CD-sl2,2,To Evergreen St College,0,6605,32,1,0.0,1,0,0
48,t735-b19CD-sl3,3,To Evergreen St College,0,6605,32,1,0.0,1,0,0
94,t735-b24B9-sl3,3,To Yelm Walmart,0,9401,3,1,0.0,1,0,0
94,t735-b24BB-sl2,2,To Yelm Walmart,0,9403,3,1,0.0,1,0,0
13,t735-b515-sl2,2,To Labor and Industries,0,1301,10,1,0.0,1,0,0
13,t735-b516-sl3,3,To Labor and Industries,0,1302,10,1,0.0,1,0,0
64,t738-b1196-sl3,3,To Olympia Transit Center,1,4502,37,1,0.0,1,0,0
64,t738-b1199-sl2,2,To Olympia Transit Center,1,4505,37,1,0.0,1,0,0
67,t73A-b1A2D-sl2,2,To Tri-Lakes,0,6701,41,1,0.0,1,0,0
67,t73A-b1A2D-sl3,3,To Tri-Lakes,0,6701,41,1,0.0,1,0,0
65,t73C-b1A91-sl2,2,To Lacey Transit Center,1,6801,29,1,0.0,1,0,0
65,t73C-b1A96-sl3,3,To Lacey Transit Center,1,6806,29,1,0.0,1,0,0
620,t73F-b26C2-sl2,2,To SR 512 Park & Ride,0,9922,30,1,0.0,1,0,0
42,t740-b1069-sl2,2,To Family Court,0,4201,42,1,0.0,1,0,0
68,t740-b1A93-sl3,3,To Capital Mall,0,6803,12,1,0.0,1,0,0
68,t740-b1A95-sl2,2,To Capital Mall,0,6805,12,1,0.0,1,0,0
