route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B45,EN_C4-Saturday,EN_C4-Saturday-034000_B45_803,DOWNTOWN BKLYN COURT ST,1,36166974,B450013
B82,EN_C4-Saturday,EN_C4-Saturday-034000_B82_601,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166925,B820069
B17,EN_C4-Saturday,EN_C4-Saturday-034400_B17_756,CANARSIE SEAVIEW AV,1,36166832,B170092
B83,EN_C4-Saturday,EN_C4-Saturday-034500_B12_2,BROADWAY JCT VAN SINDEREN AV,0,36167228,B830018
B15,EN_C4-Saturday,EN_C4-Saturday-034500_B15_111,BED-STUY WOODHULL HOSPITAL,1,36167122,B150031
B12,EN_C4-Saturday,EN_C4-Saturday-034500_B25_202,LEFFERTS GARDENS OCEAN AV,1,36167114,B120015
B15,EN_C4-Saturday,EN_C4-Saturday-034600_B15_106,JFK AIRPORT,0,36167132,B150033
B82,EN_C4-Saturday,EN_C4-Saturday-034700_B82_609,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166938,B820069
B65,EN_C4-Saturday,EN_C4-Saturday-034800_B65_851,DOWNTOWN BKLYN FULTON MALL,1,36166985,B650004
B12,EN_C4-Saturday,EN_C4-Saturday-035000_B12_4,EAST NEW YORK ALABAMA AV,0,36167115,B120019
Q56,EN_C4-Saturday,EN_C4-Saturday-035000_B15_109,JAMAICA 170 ST via JAMAICA AV,0,36167099,Q560002
B17,EN_C4-Saturday,EN_C4-Saturday-035000_B17_754,CROWN HEIGHTS EASTERN PKY,0,36166826,B170993
B14,EN_C4-Saturday,EN_C4-Saturday-035000_B17_757,SPRING CREEK STANLEY AV POSTAL FAC,0,36166845,B140022
B42,EN_C4-Saturday,EN_C4-Saturday-035000_B42_502,ROCKAWAY PKY STA,0,36166931,B421036
Q56,EN_C4-Saturday,EN_C4-Saturday-035000_Q24_405,BROADWAY JCT VAN SINDEREN AV via JAMAICA,1,36167097,Q560014
B65,EN_C4-Saturday,EN_C4-Saturday-035100_B65_852,CROWN HEIGHTS RALPH AV,0,36166986,B650009
Q24,EN_C4-Saturday,EN_C4-Saturday-035200_B12_8,JAMAICA 168 ST via ATLANTIC,0,36167089,Q240242
B83,EN_C4-Saturday,EN_C4-Saturday-035200_B25_203,SPRING CREEK GATEWAY MALL,1,36167257,B830002
B82,EN_C4-Saturday,EN_C4-Saturday-035200_B82_605,SPRING CRK TWRS SEAVIEW AV via KINGS HWY,0,36166939,B820075
B17,EN_C4-Saturday,EN_C4-Saturday-035300_B17_758,CANARSIE SEAVIEW AV,1,36166834,B170092
B15,EN_C4-Saturday,EN_C4-Saturday-035400_B12_5,BED-STUY WOODHULL HOSPITAL,1,36167124,B150031
B15,EN_C4-Saturday,EN_C4-Saturday-035400_B25_205,JFK AIRPORT,0,36167146,B150033
B82,EN_C4-Saturday,EN_C4-Saturday-035500_B82_610,CONEY ISLAND STILLWELL AV via FLATLANDS,1,36166919,B820069
Q24,EN_C4-Saturday,EN_C4-Saturday-035500_Q24_404,LAFAYETTE AV PATCHEN AV via ATLANTIC AV,1,36167094,Q240239
B17,EN_C4-Saturday,EN_C4-Saturday-035900_B17_755,CROWN HEIGHTS EASTERN PKY,0,36166828,B170993
B12,EN_C4-Saturday,EN_C4-Saturday-036000_B15_103,LEFFERTS GARDENS OCEAN AV,1,36167111,B120015
B25,EN_C4-Saturday,EN_C4-Saturday-036000_B15_118,DOWNTOWN BKLYN FRONT ST via FULTON,1,36167066,B250031
